Aplicación,Empresa,Plataforma,Fecha,Descripción de experiencia,Resultado al momento,url,Bolsas de presencia: ,Detalles,,Junta ARC
1,Idis,linked in referido ARC,,,aplique,,,,,1
2,Amaris,linked in referido ARC,,,Decidieron no continar se quedaron los datos,,,,,1
3,Smilepill,linked in referido ARC,,,aplique,,,,,1
4,Adam Milo ,linked in referido ARC,,,aplique,,,,,1
5,Incode,linked in data search - greenhouse,,,Apliqué ,https://job-boards.greenhouse.io/incode/jobs/5675386004,greenhouse,Rol en inglés. Cover letter. ,,2
6,ITJ ,Data Scientist ,,,Apliqué ,https://www.linkedin.com/jobs/view/4312154884/?eBP=CwEAAAGZ7wwVxEfeAh8Jr6_dIXcE43uKgTBKjwxqAbbSvgLlnKN0i-6L0ekboGQeOJN8Dw-Gj8n-gJKkuPv6ctX-WOJXcqx1G7M9Jg41mOVvhX18pc3R8ZsczARRofm922lWyHlf5QXAyMtGdnSRD7bqtr_zZTV6bipqWe3F2bPWRxQY7BIjAzwFTwD9NXKr5J-lkfylMtGzd8HE2W9xo25OaJxXcsz0GavkL5aeq5S_WeVeJIBMFZM6vbluyHqn1KycUjdFczUCZ9-m2cDBTYO7-kuFGA1ueCHSUM1UhGcRwRTF60As729B4SJoKsUW3QwAP6iG4gyRRDEouoZ8Zg1Z23-YGVEXg8g5stFKnTWJTNk2xJ6xuuqMs__Chhd857OINZKRCUVHJSfSOrbeMe4RC5z2MO02b06t0qarch6FawHzwgAoMal37OqsH0b9vv4uTrC-DbEjzZcFVrfPG_wo8ygDVskfbYYKzqP6&refId=BjcjPS77d9K9pKRDsiwnbQ%3D%3D&trackingId=lkR3ZtzArE0aBDWblaV%2BVA%3D%3D,linkedin,Inglés,,2
7,ATOS,Data Scientist ,,,Apliqué ,Prashant.Tripathi@atos.net,linked in message,Inglés,,2
8,Grupo Salinas,Científico de Datos Jr,,,Apliqué ,,Computrabajo,,,2
9,Inavant,Científico de Datos ,,,Apliqué ,,Computrabajo,,,2
10,Grupo Caliente,Científico de Datos,,,Apliqué ,,Glassdoor,,,2
11,Encora,Data Scientist,,,Apliqué ,,greenhouse,,,2
12,Concentrix ,Data Scientist ,,,Apliqué ,,linked in,,,2
13,capgemini,Data Scientist or Data Analyst,,,Apliqué ,,linked in,,,2
14,Tekton labs,Jr Data Analytics,,,,,,,,2
15,Alten,Data Analyst & Coordination Jr,,,Apliqué,,Linkedin ,,,2
16,Packsys,Ingeniero de datos,,,Apliqué,,Glassdoor ,,,2
17,Caliente Casino ,Científico de Datos ,,,Apliqué,,Glassdoor ,,,3
18,Stefanini Latam,Data Scientist,,,Apliqué,https://www.linkedin.com/jobs/search/?currentJobId=4317491449&keywords=bioanalytics&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4323903504%2C4298686692%2C,Linkedin ,Español,,3
19,Steris,Intern,,declined,Apliqué,https://career4.successfactors.com/portalcareer?_s.crb=L68gNJvSpDTCne22DyGkl9cCsq3rm77Iim12GBcCnh8%253d,Linkedin ,"Cerca de mi casa 20 minutos, empresa grande, cover letter. ",,3
20,Sigma ,Practicante de Data Analytics,,,Apliqué,https://www.linkedin.com/jobs/search/?currentJobId=4314518840&keywords=bioanalytics&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4323903504%2C4298686692%2C4323971974&start=25,Linkedin ,Cerca de mi casa. híbrido. Hablé con reclutadora.,,3
21,Flister Reclutamiento Comercial ,Business Intelligence,,,Apliqué,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=86ca47744766d585&tk=1j8bpkcojmn7786m,Indeed,"Híbrido, financiero. SQL, BI, EXcel. ",,3
22,Farmacias del ahorro,Científico de Datos y visualización,,,Apliqué,https://fahorro.wd3.myworkdayjobs.com/es/oportunidades_fdahorro/userHome,Indeed,"Datos farma y consumo. Python, BI. ",,3
23,Best Egg,Data Scientist,,declinado,Apliqué,https://jobs.lever.co/BestEgg/7d2cf121-74a3-4409-a116-96a070744d15/thanks,Remote,"Servicios Financieros. Python, BI. ",,3
24,Lindee,Data Analyst,,,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4307916919&geoId=105701034&keywords=""Data%20Analyst""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true",Linkedin ,"Química y análisis. Python, BI. ",,3
25,Hone,Data Science intern. Healthcare and longevity. ,,,Apliqué,https://job-boards.greenhouse.io/honehealth/jobs/4945568008/confirmation,,Esta me encantó. ,,3
26,Sigma ,Practicante de Ciencia de Datos,,,Apliqué,https://www.linkedin.com/jobs/view/4319532084,linked in ,,,3
27,Grupo Caliente,Analista de datos,,,Apliqué,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#03538F50A83791CC61373E686DCF3405,computrabajo,,,3
28,E contact,Analista de datos,,,Apliqué,https://mx.computrabajo.com/trabajo-de-datos-en-monterrey#59359C58CD2B2E1461373E686DCF3405,computrabajo,"En obispado. Generación de KPI, dashboards y manejo de bases. ERP u otros, SQL, Python, BI ",,3
