Empresa,Empresa_ID
Idis,1
Amaris,2
Smilepill,3
Adam Milo ,4
Incode,5
ITJ ,6
ATOS,7
Grupo Salinas,8
Inavant,9
Grupo Caliente,10
Encora,11
Concentrix ,12
capgemini,13
Tekton labs,14
Alten,15
Packsys,16
Caliente Casino ,17
Stefanini Latam,18
Steris,19
Sigma ,20
Flister Reclutamiento Comercial ,21
Farmacias del ahorro,22
Best Egg,23
Lindee,24
Hone,25
E contact,26
Artefact,27
CLEBER,28
Rackspace technologies,29
Constructor,30
Insight Global,31
Grupo Ti,32
Helicon,33
Informática de América ,34
Monterrey IT cluster,35
daltile,36
improvado ,37
Remoto workforce,38
Thermofisher,39
Nielsen IQ,40
Randstand,41
Genestack ltd,42
UNOSQUARE!!,43
Hector Sosa,44
E connect,45
Sigma,46
Banregio,47
Scalepex,48
IDS comercial ,49
Mucho Red,50
grupo ayvi,51
Invisible,52
Genestack,53
Tort Experts,54
Caterpillar,55
Improvado,56
Confidencial ,57
Sas,58
ManPowerGroup,59
Paired,60
Skydropx,61
Capgemini,62
Impulssamex,63
Tecnoap,64
caliente casino,65
wexpand,66
Lumina Software,67
Redwood logistics,68
Dimex ,69
incFile,70
Informática Sa de CV,71
Tecnológico de Monterrey,72
Avahi,73
Baufest,74
Dematic,75
workspark,76
Phrac international,77
ODIX,78
Braintrust,79
Dtroy,80
Envia flores,81
Fultra,82
Xploy Solutions,83
Farmacias Benavides,84
Data Annotation,85
Mercor,86
Helix and Co,87
joinrs,88
Indi,89
Toloka AI,90
Pfizer,91
E solutions,92
work vista,93
Mindrift,94
tecnoap,95
talexa,96
Proximo,97
Movit SG,98
SB ,99
Afasit,100
Jhonson Control,101
Amazon,102
ICON,103
Pepsico ,104
Manuable,105
Autofin,106
banregio,107
Infinitytech servicios integrales de tecnología,108
Internacional de sistemas,109
Toreo Motors,110
Bliss IT,111
Autozone,112
MBS arrendadora SAPI,113
SkySis,114
The Outloud Group,115
Open Talent Group - Patrick J McGovern Foundation,116
-OTG - Patrick,117
Agerpoint,118
Unilink,119
Argon Sc,120
Sigma Alimentos,121
Apex,122
NielsenQ,123
Inetum,124
Boaz Onyango,125
Corning,126
Nadro,127
Sociedad Mexicana de Parrilleros,128
Securitas Technology,129
Pyramid Consulting,130
Maxitransfer,131
Nazan Comercializadora de Calzado ,132
Caliente Casino,133
FEMSA Salud,134
OXXO ,135
Launchpad,136
xpertal,137
GroWrk ,138
Bayforce,139
Planen,140
Grupo Casco,141
NeoPerformance,142
IDT,143
unilever,144
Benavides,145
Banorte,146
