Aplicación,Empresa,Posicion,Fecha,url,Junta ARC,Canal_limpio,tipo_posicion,nivel
1,Idis,linked in referido ARC,2025-12-05,,1,LinkedIn,Otros,0
2,Amaris,linked in referido ARC,2025-12-05,,1,LinkedIn,Otros,0
3,Smilepill,linked in referido ARC,2025-12-05,,1,LinkedIn,Otros,0
4,Adam Milo ,linked in referido ARC,2025-12-05,,1,LinkedIn,Otros,0
5,Incode,linked in data search - greenhouse,2025-12-05,https://job-boards.greenhouse.io/incode/jobs/5675386004,2,Otros,Otros,0
6,ITJ ,Data Scientist ,2025-12-05,https://www.linkedin.com/jobs/view/4312154884/?eBP=CwEAAAGZ7wwVxEfeAh8Jr6_dIXcE43uKgTBKjwxqAbbSvgLlnKN0i-6L0ekboGQeOJN8Dw-Gj8n-gJKkuPv6ctX-WOJXcqx1G7M9Jg41mOVvhX18pc3R8ZsczARRofm922lWyHlf5QXAyMtGdnSRD7bqtr_zZTV6bipqWe3F2bPWRxQY7BIjAzwFTwD9NXKr5J-lkfylMtGzd8HE2W9xo25OaJxXcsz0GavkL5aeq5S_WeVeJIBMFZM6vbluyHqn1KycUjdFczUCZ9-m2cDBTYO7-kuFGA1ueCHSUM1UhGcRwRTF60As729B4SJoKsUW3QwAP6iG4gyRRDEouoZ8Zg1Z23-YGVEXg8g5stFKnTWJTNk2xJ6xuuqMs__Chhd857OINZKRCUVHJSfSOrbeMe4RC5z2MO02b06t0qarch6FawHzwgAoMal37OqsH0b9vv4uTrC-DbEjzZcFVrfPG_wo8ygDVskfbYYKzqP6&refId=BjcjPS77d9K9pKRDsiwnbQ%3D%3D&trackingId=lkR3ZtzArE0aBDWblaV%2BVA%3D%3D,2,LinkedIn,Data Scientist,0
7,ATOS,Data Scientist ,2025-12-05,Prashant.Tripathi@atos.net,2,LinkedIn,Data Scientist,0
8,Grupo Salinas,Científico de Datos Jr,2025-12-05,,2,CT,Data Scientist,1
9,Inavant,Científico de Datos ,2025-12-05,,2,CT,Data Scientist,0
10,Grupo Caliente,Científico de Datos,2025-12-05,,2,Glassdoor,Data Scientist,0
11,Encora,Data Scientist,2025-12-05,,2,Otros,Data Scientist,0
12,Concentrix ,Data Scientist ,2025-12-05,,2,LinkedIn,Data Scientist,0
13,capgemini,Data Scientist or Data Analyst,2025-12-05,,2,LinkedIn,Data Analyst,0
14,Tekton labs,Jr Data Analytics,2025-12-05,,2,LinkedIn,Data Analyst,1
15,Alten,Data Analyst & Coordination Jr,2025-12-05,,2,LinkedIn,Data Analyst,1
16,Packsys,Ingeniero de datos,2025-12-05,,2,Glassdoor,Data Engineer,0
17,Caliente Casino ,Científico de Datos ,2025-12-05,,3,Glassdoor,Data Scientist,0
