Aplicacion,Fecha,url,Canal_ID,Fecha_ID,Empresa_ID,Aplicacion_ID,Junta_ID,Posicion_ID
1,2025-12-05,,1,1,1,1,1,
2,2025-12-05,,1,1,2,2,1,
3,2025-12-05,,1,1,3,3,1,
4,2025-12-05,,1,1,4,4,1,
5,2025-12-05,https://job-boards.greenhouse.io/incode/jobs/5675386004,2,1,5,5,2,
6,2025-12-05,https://www.linkedin.com/jobs/view/4312154884/?eBP=CwEAAAGZ7wwVxEfeAh8Jr6_dIXcE43uKgTBKjwxqAbbSvgLlnKN0i-6L0ekboGQeOJN8Dw-Gj8n-gJKkuPv6ctX-WOJXcqx1G7M9Jg41mOVvhX18pc3R8ZsczARRofm922lWyHlf5QXAyMtGdnSRD7bqtr_zZTV6bipqWe3F2bPWRxQY7BIjAzwFTwD9NXKr5J-lkfylMtGzd8HE2W9xo25OaJxXcsz0GavkL5aeq5S_WeVeJIBMFZM6vbluyHqn1KycUjdFczUCZ9-m2cDBTYO7-kuFGA1ueCHSUM1UhGcRwRTF60As729B4SJoKsUW3QwAP6iG4gyRRDEouoZ8Zg1Z23-YGVEXg8g5stFKnTWJTNk2xJ6xuuqMs__Chhd857OINZKRCUVHJSfSOrbeMe4RC5z2MO02b06t0qarch6FawHzwgAoMal37OqsH0b9vv4uTrC-DbEjzZcFVrfPG_wo8ygDVskfbYYKzqP6&refId=BjcjPS77d9K9pKRDsiwnbQ%3D%3D&trackingId=lkR3ZtzArE0aBDWblaV%2BVA%3D%3D,1,1,6,6,2,
7,2025-12-05,Prashant.Tripathi@atos.net,1,1,7,7,2,
8,2025-12-05,,3,1,8,8,2,
9,2025-12-05,,3,1,9,9,2,
10,2025-12-05,,4,1,10,10,2,
11,2025-12-05,,2,1,11,11,2,
12,2025-12-05,,1,1,12,12,2,
13,2025-12-05,,1,1,13,13,2,
14,2025-12-05,,1,1,14,14,2,
15,2025-12-05,,1,1,15,15,2,
16,2025-12-05,,4,1,16,16,2,
17,2025-12-05,,4,1,17,17,3,
