Aplicación,Empresa,Posición ,Fecha,Informacion de contacto,Resultado al momento,url,Bolsas de presencia: ,Detalles,,Junta ARC,
1,Idis,linked in referido ARC,22/10/25,,aplique,,,,,1,
2,Amaris,linked in referido ARC,22/10/25,,Decidieron no continar se quedaron los datos,,,,,1,
3,Smilepill,linked in referido ARC,22/10/25,,aplique,,,,,1,
4,Adam Milo ,linked in referido ARC,22/10/25,,aplique,,,,,1,
5,Incode,linked in data search - greenhouse,29/10/25,,Apliqué ,https://job-boards.greenhouse.io/incode/jobs/5675386004,greenhouse,Rol en inglés. Cover letter. ,,2,
6,ITJ ,Data Scientist ,29/10/25,,Apliqué ,https://www.linkedin.com/jobs/view/4312154884/?eBP=CwEAAAGZ7wwVxEfeAh8Jr6_dIXcE43uKgTBKjwxqAbbSvgLlnKN0i-6L0ekboGQeOJN8Dw-Gj8n-gJKkuPv6ctX-WOJXcqx1G7M9Jg41mOVvhX18pc3R8ZsczARRofm922lWyHlf5QXAyMtGdnSRD7bqtr_zZTV6bipqWe3F2bPWRxQY7BIjAzwFTwD9NXKr5J-lkfylMtGzd8HE2W9xo25OaJxXcsz0GavkL5aeq5S_WeVeJIBMFZM6vbluyHqn1KycUjdFczUCZ9-m2cDBTYO7-kuFGA1ueCHSUM1UhGcRwRTF60As729B4SJoKsUW3QwAP6iG4gyRRDEouoZ8Zg1Z23-YGVEXg8g5stFKnTWJTNk2xJ6xuuqMs__Chhd857OINZKRCUVHJSfSOrbeMe4RC5z2MO02b06t0qarch6FawHzwgAoMal37OqsH0b9vv4uTrC-DbEjzZcFVrfPG_wo8ygDVskfbYYKzqP6&refId=BjcjPS77d9K9pKRDsiwnbQ%3D%3D&trackingId=lkR3ZtzArE0aBDWblaV%2BVA%3D%3D,linkedin,Inglés,,2,
7,ATOS,Data Scientist ,29/10/25,,Apliqué ,Prashant.Tripathi@atos.net,linked in message,Inglés,,2,
8,Grupo Salinas,Científico de Datos Jr,29/10/25,,Apliqué ,,Computrabajo,,,2,
9,Inavant,Científico de Datos ,29/10/25,,Apliqué ,,Computrabajo,,,2,
10,Grupo Caliente,Científico de Datos,29/10/25,,Apliqué ,,Glassdoor,,,2,
11,Encora,Data Scientist,5/11/25,,Apliqué ,,greenhouse,,,2,
12,Concentrix ,Data Scientist ,5/11/25,,Apliqué ,,linked in,,,2,
13,capgemini,Data Scientist or Data Analyst,5/11/25,,Apliqué ,,linked in,,,2,
14,Tekton labs,Jr Data Analytics,5/11/25,,,,,,,2,
15,Alten,Data Analyst & Coordination Jr,5/11/25,,Apliqué,,Linkedin ,,,2,
16,Packsys,Ingeniero de datos,5/11/25,,Apliqué,,Glassdoor ,,,2,
17,Caliente Casino ,Científico de Datos ,12/11/25,,Apliqué,,Glassdoor ,,,3,
18,Stefanini Latam,Data Scientist,12/11/25,,Apliqué,https://www.linkedin.com/jobs/search/?currentJobId=4317491449&keywords=bioanalytics&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4323903504%2C4298686692%2C,Linkedin ,Español,,3,
19,Steris,Intern,12/11/25,declined,Apliqué,https://career4.successfactors.com/portalcareer?_s.crb=L68gNJvSpDTCne22DyGkl9cCsq3rm77Iim12GBcCnh8%253d,Linkedin ,"Cerca de mi casa 20 minutos, empresa grande, cover letter. ",,3,
20,Sigma ,Practicante de Data Analytics,12/11/25,,Apliqué,https://www.linkedin.com/jobs/search/?currentJobId=4314518840&keywords=bioanalytics&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4323903504%2C4298686692%2C4323971974&start=25,Linkedin ,Cerca de mi casa. híbrido. Hablé con reclutadora.,,3,
21,Flister Reclutamiento Comercial ,Business Intelligence,12/11/25,,Apliqué,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=86ca47744766d585&tk=1j8bpkcojmn7786m,Indeed,"Híbrido, financiero. SQL, BI, EXcel. ",,3,
22,Farmacias del ahorro,Científico de Datos y visualización,12/11/25,,Apliqué,https://fahorro.wd3.myworkdayjobs.com/es/oportunidades_fdahorro/userHome,Indeed,"Datos farma y consumo. Python, BI. ",,3,
23,Best Egg,Data Scientist,12/11/25,declinado,Apliqué,https://jobs.lever.co/BestEgg/7d2cf121-74a3-4409-a116-96a070744d15/thanks,Remote,"Servicios Financieros. Python, BI. ",,3,
24,Lindee,Data Analyst,12/11/25,,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4307916919&geoId=105701034&keywords=""Data%20Analyst""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true",Linkedin ,"Química y análisis. Python, BI. ",,3,
25,Hone,Data Science intern. Healthcare and longevity. ,12/11/25,,Apliqué,https://job-boards.greenhouse.io/honehealth/jobs/4945568008/confirmation,,Esta me encantó. ,,3,
26,Sigma ,Practicante de Ciencia de Datos,12/11/25,,Apliqué,https://www.linkedin.com/jobs/view/4319532084,linked in ,,,3,
27,Grupo Caliente,Analista de datos,12/11/25,,Apliqué,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#03538F50A83791CC61373E686DCF3405,computrabajo,,,3,
28,E contact,Analista de datos,12/11/25,,Apliqué,https://mx.computrabajo.com/trabajo-de-datos-en-monterrey#59359C58CD2B2E1461373E686DCF3405,computrabajo,"En obispado. Generación de KPI, dashboards y manejo de bases. ERP u otros, SQL, Python, BI ",,3,
29,Artefact,Científico de datos jr ,12/11/25,3 semanas en contactar desde 29/10/25 o declinado. ,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4283427319&f_WT=2%2C3&geoId=92000000&keywords=""scientist""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&spellCorrectionEnabled=true&start=25",linkedin,"Cover Letter. Jr. Python, BI, SQL. ",,3,
30,CLEBER,Practicante de Desarrollo en Tableau ,12/11/25,,Apliqué,https://mx.smartapply.indeed.com/beta/indeedapply/form/review-module,indeed,Medio tiempo. 9K a 12K. Requisitos son tener bases de análisis y visualización. Se puede aprender ahí. 15 minutos de trayecto. ,,3,
31,Rackspace technologies,Data Engineer Trainee,12/11/25,,Apliqué,https://jobs.lever.co/rackspace/be8898d4-783d-400e-b25d-18784e273d11/apply,remote,"AWS, Python, SQL. Fuente de desarrollo enorme por mentoría por expertos, completamente remoto y con consideración flexible de competencias. ",,3,
32,Constructor,A/B testing and customer onboarding. ,12/11/25,,Apliqué,"https://www.glassdoor.com.mx/job-listing/data-analyst-ab-tests-and-customer-onboarding-remote-constructor-JV_KO0,52_KE53,64.htm?jl=1009883440664&cs=1_7b4c0e42&s=58&t=NS&pos=105&src=GD_JOB_AD&guid=0000019a32a356f79e13ec1bbcff3632&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&jobListingId=1009883440664&ea=1&ao=1136043&vt=w&cb=1761786156978&ctt=1761786160516",glassdoor,"SQL, Python, Bi. ",,3,
33,Insight Global,Data Scientist,12/11/25,,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4319115179&f_WT=2%2C3&geoId=92000000&keywords=""scientist""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&spellCorrectionEnabled=true&start=100",linkedin,Need to rush BI. ,,3,
34,,Administrative Assistant,12/11/25,,Apliqué,,linkedin; Daniela Mejía,,,3,
35,Bancopel,Científico de Datos Jr,12/11/25,,Apliqué,,linkedin; Gibran Jair,,,3,
36,Grupo Ti,Cientifico de Datos,12/11/25,,Apliquè,https://mx.computrabajo.com/trabajo-de-data-scientist#C6DB711FA4BB7C3261373E686DCF3405,ct ,ana.gonzalez@grupotimexico.com.mx,,3,
37,Helicon,Analista de datos,12/11/25,,Apliqué,https://mx.indeed.com/?from=gnav-applymgt--app-tracker-webapp&vjk=303bb58b66316c28,indeed,,,3,
38,Scalepex,,12/11/25,,Apliqué,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=e01ab1e6178fc83a&tk=1j98n07ftgiqj800,indeed,,,3,
39,Robles venture,,12/11/25,,Apliqué,https://www.occ.com.mx/empleos/de-cientifico-de-datos/en-nuevo-leon/?smax=30000&smin=20000&jobid=20775216,occ,,,3,
40,Informática de América ,"PowerBI, SQL, Python ",12/11/25,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000,occ,,,3,
41,Monterrey IT cluster,Analista de Gobierno de Datos Jr,12/11/25,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=2&jobid=20807811,occ,,,3,
42,,analista de datos,12/11/25,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=4&jobid=20734889,occ,,,3,
43,daltile,Ingeniero de mantenimiento predictivo de datos,12/11/25,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=5&jobid=20747826,occ,,,3,
44,improvado ,Analyst Jr,19/11/25,Elena Yakimova,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4334552263&geoId=105701034&keywords=""data%20scientist""%20&origin=JOB_SEARCH_PAGE_LOCATION_AUTOCOMPLETE&refresh=true",linkedin,"4ta ronda 14/6/2025 9 am, sergey.manaev@improvado.io; mejorar en sql pero fuera de eso cool. ","Después de 4 rondas, decidieron no continuar con mi candidatura. ",3,
45,Remoto workforce,Data Analyst,19/11/25,,Apliqué,https://www.linkedin.com/jobs/collections/hiring-in-network/?currentJobId=4334451319&originToLandingJobPostings=4337723997%2C4316359205%2C4312344857,linkedin,,,3,
46,Thermofisher,Associate Patient Data Specialist,19/11/25,,Apliqué,https://jobs.thermofisher.com/global/en/job/R-01322182/Associate-Patient-Data-Specialist?rx_ch=jobpost&rx_id=27c16dca-b41b-11f0-b7ab-1f1305eec847&rx_job=R-01322182_rxr-1&rx_medium=post&rx_paid=0&rx_r=none&rx_source=linkedin&rx_ts=20251106T024003Z&rx_vp=linkedindirectindex&utm_medium=post&utm_source=recruitics_linkedindirectindex&refId=34jd24&rx_viewer=19b926969a9e11f0bab0519aba7cb30fbcb9baffaa004f5e900c0dd1a7e39bf0,linkedin ,,,3,
47,Nielsen IQ,Data Scientist - Intern,19/11/25,,Aplique,https://www.linkedin.com/jobs/view/4320714412/?refId=VfnaOShJT0ucAQIKyQIjhA%3D%3D&trackingId=HL%2FfpXHsT%2BST%2Bn%2Bgv6fO8Q%3D%3D,linkedin,,,3,
48,Randstand,Data Engineer Jr.,19/11/25,,apliqué,https://www.linkedin.com/jobs/view/4340082946/post-apply/default/?postApplyJobId=4340082946&refId=X%2FolXbbdty%2BQyCMQ33%2FQWg%3D%3D&trackingId=X%2FolXbbdty%2BQyCMQ33%2FQWg%3D%3D,linkedin,,,3,
49,Genestack ltd,Scientific Data Curator,19/11/25,,Apliqué,https://torre.ai/post/OwGXgV3d-genestack-ltd-scientific-data-curator?t=1762977827996&r=CvM7NtCW,torre ai,,,3,
50,Thermofisher,Associate Patient Data Specialist,19/11/25,,Apliqué,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4318944847,linkedin,,,3,
51,UNOSQUARE!!,Data Engineer Jr.,19/11/25,,Mandé currículo y mensaje. ,"Post, Jaqueline Chavez; le mandé el CV",linked in ,,,3,
52,,,19/11/25,,,,,,,3,
53,Hector Sosa,Data AI engineer,19/11/25,,En proceso ,,,,,3,
54,E connect,Cientifico de Datos,19/11/25,,APliqué ,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#BB13120EE2E29A2561373E686DCF3405,CT,,,3,
55,Sigma,Analista de bases de datos,19/11/25,,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4321219290,linkedin,María Elena Vásquez Avila,,3,
56,Banregio,Ciencia de Datos y analítica,19/11/25,,,https://www.linkedin.com/jobs/search/?currentJobId=4318928919&geoId=105701034&origin=JOB_COLLECTION_PAGE_LOCATION_AUTOCOMPLETE&refresh=true,,,,3,
57,Scalepex,Data Scientist,19/11/25,,,https://www.linkedin.com/jobs/collections/remote-jobs/?currentJobId=4281921381&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,,,,3,
58,IDS comercial ,Data Analyst,28/11/25,,,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon?p=2#03F9F0D76B99F62F61373E686DCF3405,CT,,,3,
59,Mucho Red,Data Analyst,28/11/25,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20843995,OCC,,,3,
60,grupo ayvi,Analista de datos,28/11/25,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&page=2&jobid=20839769,occ,,,3,
61,Invisible,Stem Specialist - AI trainer,28/11/25,,,https://job-boards.eu.greenhouse.io/agency/jobs/4606955101?gh_src=4551efb2teu,Linkedin,,,3,
62,Genestack,Bioinformatic development,28/11/25,,,https://www.linkedin.com/jobs/search/?currentJobId=4232818069&f_C=2896685&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4225882218%2C4232818069%2C4291364285%2C4281246163%2C4303819404%2C4271585263%2C4314082291%2C4210021043%2C4340652874&trk=d_flagship3_company_posts,linkedin,,,3,
63,Tort Experts,Data Analyst,28/11/25,1era ronda pasada. 2da en proceso. ,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=531377429752fd40,indeed,"1era ronda completada. Psicométricos, habilidades de razonamiento. 40 minutos. Por recibir correos de seguimiento en gmail. ",,3,
64,Caterpillar,Data Scientist,28/11/25,,https://cat.wd5.myworkdayjobs.com/en-US/CaterpillarCareers/userHome,https://careers.caterpillar.com/en/jobs/r0000332095/data-scientist-santa-catarina-facility/?source=Indeed,indeed,Llenar encuestas para postular. ,Se llenó una encuesta y se volvió a mandar el CV. ,3,
65,Improvado,Junior Analyst,28/11/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=8c6557a37c050af3,indeed,"Se ocupará 30 minutos de una tarea, 2 problemas SQL y otra entrevista con manager de reclutador si deciden continuar con mi candidatura. ",,3,
66,Confidencial ,Analista Jr de inteligencia comercial,28/11/25,,,https://www.occ.com.mx/empleos/de-analista-o-ciencia-de-datos/en-nuevo-leon/?smax=30000&smin=20000&jobid=20840971,occ,,,3,
67,Sas,Analista de importación y exportación,28/11/25,,,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#EB6D732ED5C70B4761373E686DCF3405,ct,,,3,
68,ManPowerGroup,Analista de Datos,28/11/25,,,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon?p=2#EA82A268100B828361373E686DCF3405,CT,,,3,
69,Paired,Jr. Data Scientist,28/11/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=680b5cba28bcc60f,indeed,,,3,
70,Skydropx,Data Engineer Jr,28/11/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=15f572f4c7bd4e4b,indeed,,,3,
71,Capgemini,FBS Associate Decission Scientist,28/11/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=4459ed9324ab411d,indeed,,,3,
72,Capgemini,FBS Data Analyst-PowerBI,28/11/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=3b4d616f9c8e31fa,indeed,,,3,
73,Impulssamex,Analista de Datos,05/12/25,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon,ct,Desventajas trabajo los sábados. ,,4,
74,Tecnoap,Científico de Datos,05/12/25,,,https://www.tecnoap.com/ads/data-scientist-2/,glassdoor,,,4,
