Empresa,Empresa_ID
Idis,1
Amaris,2
Smilepill,3
Adam Milo ,4
Incode,5
ITJ ,6
ATOS,7
Grupo Salinas,8
Inavant,9
Grupo Caliente,10
Encora,11
Concentrix ,12
capgemini,13
Tekton labs,14
Alten,15
Packsys,16
Caliente Casino ,17
Stefanini Latam,18
Steris,19
Sigma ,20
Flister Reclutamiento Comercial ,21
Farmacias del ahorro,22
Best Egg,23
Lindee,24
Hone,25
E contact,26
Artefact,27
CLEBER,28
Rackspace technologies,29
Constructor,30
Insight Global,31
Bancopel,32
Grupo Ti,33
Helicon,34
Informática de América ,35
Monterrey IT cluster,36
daltile,37
improvado ,38
Remoto workforce,39
Thermofisher,40
Nielsen IQ,41
Randstand,42
Genestack ltd,43
UNOSQUARE!!,44
Hector Sosa,45
E connect,46
Sigma,47
Banregio,48
Scalepex,49
IDS comercial ,50
Mucho Red,51
grupo ayvi,52
Invisible,53
Genestack,54
Tort Experts,55
Caterpillar,56
Improvado,57
Confidencial ,58
Sas,59
ManPowerGroup,60
Paired,61
Skydropx,62
Capgemini,63
Impulssamex,64
Tecnoap,65
caliente casino,66
wexpand,67
Lumina Software,68
Redwood logistics,69
Dimex ,70
incFile,71
Informática Sa de CV,72
Tecnológico de Monterrey,73
Avahi,74
Baufest,75
Dematic,76
workspark,77
Phrac international,78
ODIX,79
Braintrust,80
Dtroy,81
Envia flores,82
Fultra,83
Xploy Solutions,84
Farmacias Benavides,85
Data Annotation,86
Mercor,87
Helix and Co,88
joinrs,89
Indi,90
Toloka AI,91
Pfizer,92
E solutions,93
work vista,94
Mindrift,95
tecnoap,96
talexa,97
Proximo,98
Movit SG,99
SB ,100
Afasit,101
Jhonson Control,102
Amazon,103
ICON,104
Pepsico ,105
Manuable,106
Autofin,107
banregio,108
Infinitytech servicios integrales de tecnología,109
Internacional de sistemas,110
Toreo Motors,111
Bliss IT,112
Autozone,113
MBS arrendadora SAPI,114
SkySis,115
The Outloud Group,116
Open Talent Group - Patrick J McGovern Foundation,117
-OTG - Patrick,118
Agerpoint,119
Unilink,120
Argon Sc,121
Sigma Alimentos,122
Apex,123
NielsenQ,124
Inetum,125
Boaz Onyango,126
Corning,127
Nadro,128
Sociedad Mexicana de Parrilleros,129
Securitas Technology,130
Pyramid Consulting,131
Maxitransfer,132
Nazan Comercializadora de Calzado ,133
Caliente Casino,134
FEMSA Salud,135
OXXO ,136
Launchpad,137
xpertal,138
GroWrk ,139
Bayforce,140
Planen,141
Grupo Casco,142
NeoPerformance,143
IDT,144
unilever,145
Benavides,146
Banorte,147
Prosperia,148
Bachoco,149
Manpower Group,150
Creditos grupales Monterrey,151
Poiema Sa de CV,152
Reclutamiento ITAL,153
Forza,154
BUHO,155
Heineken,156
Consultoria yo soy,157
Fast Dolphin,158
Interactive Media,159
MaverickX,160
CG Oncology,161
CRG,162
Helic & Co,163
INDI staffing services,164
BairesDev,165
IDT CORP,166
Neoris,167
Agroshields,168
Legaxxi,169
Desarrollo logístico,170
Falabella,171
Towa,172
MSCI,173
Didi,174
CEMEX,175
Administradora de activos fibra inn SC,176
Crediclub,177
Apoyo al desarrollo mexicano,178
Confidencial,179
CIBALE,180
TSM,181
Mucho Red Sa de CV,182
Envía flores Sa de CV,183
Alugama,184
MovIT,185
Farmacias del Ahorro,186
Totum Talents,187
Linde,188
Empleos Monterrey NL,189
Senda Citi,190
Redwood,191
Simera,192
Indi Staffing Services,193
Grupo Autofin,194
Christus,195
