Aplicacion,Fecha,url,Canal_ID,Fecha_ID,Empresa_ID,Aplicacion_ID,Junta_ID,Posicion_ID
1,2025-10-22,,1,1,1,1,1,
2,2025-10-22,,1,1,2,2,1,
3,2025-10-22,,1,1,3,3,1,
4,2025-10-22,,1,1,4,4,1,
5,2025-10-29,https://job-boards.greenhouse.io/incode/jobs/5675386004,2,2,5,5,2,
6,2025-10-29,https://www.linkedin.com/jobs/view/4312154884/?eBP=CwEAAAGZ7wwVxEfeAh8Jr6_dIXcE43uKgTBKjwxqAbbSvgLlnKN0i-6L0ekboGQeOJN8Dw-Gj8n-gJKkuPv6ctX-WOJXcqx1G7M9Jg41mOVvhX18pc3R8ZsczARRofm922lWyHlf5QXAyMtGdnSRD7bqtr_zZTV6bipqWe3F2bPWRxQY7BIjAzwFTwD9NXKr5J-lkfylMtGzd8HE2W9xo25OaJxXcsz0GavkL5aeq5S_WeVeJIBMFZM6vbluyHqn1KycUjdFczUCZ9-m2cDBTYO7-kuFGA1ueCHSUM1UhGcRwRTF60As729B4SJoKsUW3QwAP6iG4gyRRDEouoZ8Zg1Z23-YGVEXg8g5stFKnTWJTNk2xJ6xuuqMs__Chhd857OINZKRCUVHJSfSOrbeMe4RC5z2MO02b06t0qarch6FawHzwgAoMal37OqsH0b9vv4uTrC-DbEjzZcFVrfPG_wo8ygDVskfbYYKzqP6&refId=BjcjPS77d9K9pKRDsiwnbQ%3D%3D&trackingId=lkR3ZtzArE0aBDWblaV%2BVA%3D%3D,1,2,6,6,2,
7,2025-10-29,Prashant.Tripathi@atos.net,1,2,7,7,2,
8,2025-10-29,,3,2,8,8,2,
9,2025-10-29,,3,2,9,9,2,
10,2025-10-29,,4,2,10,10,2,
11,2025-11-05,,2,3,11,11,2,
12,2025-11-05,,1,3,12,12,2,
13,2025-11-05,,1,3,13,13,2,
14,2025-11-05,,1,3,14,14,2,
15,2025-11-05,,1,3,15,15,2,
16,2025-11-05,,4,3,16,16,2,
17,2025-11-12,,4,4,17,17,3,
18,2025-11-12,https://www.linkedin.com/jobs/search/?currentJobId=4317491449&keywords=bioanalytics&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4323903504%2C4298686692%2C,1,4,18,18,3,
19,2025-11-12,https://career4.successfactors.com/portalcareer?_s.crb=L68gNJvSpDTCne22DyGkl9cCsq3rm77Iim12GBcCnh8%253d,1,4,19,19,3,
20,2025-11-12,https://www.linkedin.com/jobs/search/?currentJobId=4314518840&keywords=bioanalytics&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4323903504%2C4298686692%2C4323971974&start=25,1,4,20,20,3,
21,2025-11-12,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=86ca47744766d585&tk=1j8bpkcojmn7786m,5,4,21,21,3,
22,2025-11-12,https://fahorro.wd3.myworkdayjobs.com/es/oportunidades_fdahorro/userHome,5,4,22,22,3,
23,2025-11-12,https://jobs.lever.co/BestEgg/7d2cf121-74a3-4409-a116-96a070744d15/thanks,2,4,23,23,3,
24,2025-11-12,"https://www.linkedin.com/jobs/search/?currentJobId=4307916919&geoId=105701034&keywords=""Data%20Analyst""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true",1,4,24,24,3,
25,2025-11-12,https://job-boards.greenhouse.io/honehealth/jobs/4945568008/confirmation,1,4,25,25,3,
26,2025-11-12,https://www.linkedin.com/jobs/view/4319532084,1,4,20,26,3,
27,2025-11-12,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#03538F50A83791CC61373E686DCF3405,3,4,10,27,3,
28,2025-11-12,https://mx.computrabajo.com/trabajo-de-datos-en-monterrey#59359C58CD2B2E1461373E686DCF3405,3,4,26,28,3,
29,2025-11-12,"https://www.linkedin.com/jobs/search/?currentJobId=4283427319&f_WT=2%2C3&geoId=92000000&keywords=""scientist""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&spellCorrectionEnabled=true&start=25",1,4,27,29,3,
30,2025-11-12,https://mx.smartapply.indeed.com/beta/indeedapply/form/review-module,5,4,28,30,3,
31,2025-11-12,https://jobs.lever.co/rackspace/be8898d4-783d-400e-b25d-18784e273d11/apply,2,4,29,31,3,
32,2025-11-12,"https://www.glassdoor.com.mx/job-listing/data-analyst-ab-tests-and-customer-onboarding-remote-constructor-JV_KO0,52_KE53,64.htm?jl=1009883440664&cs=1_7b4c0e42&s=58&t=NS&pos=105&src=GD_JOB_AD&guid=0000019a32a356f79e13ec1bbcff3632&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&jobListingId=1009883440664&ea=1&ao=1136043&vt=w&cb=1761786156978&ctt=1761786160516",4,4,30,32,3,
33,2025-11-12,"https://www.linkedin.com/jobs/search/?currentJobId=4319115179&f_WT=2%2C3&geoId=92000000&keywords=""scientist""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&spellCorrectionEnabled=true&start=100",1,4,31,33,3,
35,2025-11-12,,1,4,32,34,3,
36,2025-11-12,https://mx.computrabajo.com/trabajo-de-data-scientist#C6DB711FA4BB7C3261373E686DCF3405,3,4,33,35,3,
37,2025-11-12,https://mx.indeed.com/?from=gnav-applymgt--app-tracker-webapp&vjk=303bb58b66316c28,5,4,34,36,3,
40,2025-11-12,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000,6,4,35,37,3,
41,2025-11-12,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=2&jobid=20807811,6,4,36,38,3,
43,2025-11-12,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=5&jobid=20747826,6,4,37,39,3,
44,2025-11-19,"https://www.linkedin.com/jobs/search/?currentJobId=4334552263&geoId=105701034&keywords=""data%20scientist""%20&origin=JOB_SEARCH_PAGE_LOCATION_AUTOCOMPLETE&refresh=true",1,5,38,40,3,
45,2025-11-19,https://www.linkedin.com/jobs/collections/hiring-in-network/?currentJobId=4334451319&originToLandingJobPostings=4337723997%2C4316359205%2C4312344857,1,5,39,41,3,
46,2025-11-19,https://jobs.thermofisher.com/global/en/job/R-01322182/Associate-Patient-Data-Specialist?rx_ch=jobpost&rx_id=27c16dca-b41b-11f0-b7ab-1f1305eec847&rx_job=R-01322182_rxr-1&rx_medium=post&rx_paid=0&rx_r=none&rx_source=linkedin&rx_ts=20251106T024003Z&rx_vp=linkedindirectindex&utm_medium=post&utm_source=recruitics_linkedindirectindex&refId=34jd24&rx_viewer=19b926969a9e11f0bab0519aba7cb30fbcb9baffaa004f5e900c0dd1a7e39bf0,1,5,40,42,3,
